discovery_key,query_interval_start,canonical_url,title,publisher,published_at,partner_slot,body_sha256,artifact_key,manual_date_ok,manual_korean_ok,manual_extraction_ok,manual_direct_relevance,manual_partner_valid,notes
gdelt-webngrams:da085bbd1fd396c53dc5159f9cd57ded9a94b8c442b05e31ad30b067da6ee9ae,2026-07-26T00:00:00Z,https://www.ddaily.co.kr//page/view/2026073017002567015,"배재규 “개별종목 레버리지, 하지 않는 게 최선…점진적으로 줄여야”",디지털데일리,2026-07-30,,ec1a09e5e1f1e0440d5138bdf9eb300cd57fd63f28274d6f5c1968047b33b56e,bodies/ec1a09e5e1f1e0440d5138bdf9eb300cd57fd63f28274d6f5c1968047b33b56e.txt.gz,yes,yes,yes,yes,na,
gdelt-webngrams:8dbe578c7b015198d3cf9da6157dfaa0b856f241d317bda3e8ae541aa35a017a,2026-07-11T00:00:00Z,https://www.kmib.co.kr/article/view.asp?arcid=1784272388,최태원 “현재 AI ‘4살짜리 아이’ 수준… 메모리 계속 필요”,국민일보,2026-07-17,,788580c84a9d2018710db9f74a52685608d7915751cd43a5f6fc26923e26b2ea,bodies/788580c84a9d2018710db9f74a52685608d7915751cd43a5f6fc26923e26b2ea.txt.gz,yes,yes,yes,yes,na,
gdelt-webngrams:306714b9d7c569ad8c522be4414e84fe9ef37f82d9fd892612dffd47fb21708c,2026-06-26T00:00:00Z,https://www.fnnews.com/news/202607011205416504,"호남반도체 공장 윤곽 나왔지만…삼전·닉스, 구체적 입지는 아직 '신중모드'",파이낸셜뉴스,2026-07-01,,9465c656f8285d77b00e0feeb6da69103136c03c560f9e38001f5e0185050a20,bodies/9465c656f8285d77b00e0feeb6da69103136c03c560f9e38001f5e0185050a20.txt.gz,yes,yes,yes,yes,na,
gdelt-webngrams:56205b081d1478b07638bdd1597941c7377ebf5bd1c1089ec77a1468adc6e226,2026-07-11T00:00:00Z,https://www.fnnews.com/news/202607161039202313,삼전·닉스 주가보다 더 흔들린 단일종목 레버리지…인버스도 40%대 손실,파이낸셜뉴스,2026-07-16,,8459561d7fae48c0f9d6dd0c1006f1868a99fc6bd0d98a3551f5d428af37e7e5,bodies/8459561d7fae48c0f9d6dd0c1006f1868a99fc6bd0d98a3551f5d428af37e7e5.txt.gz,yes,yes,yes,yes,na,
gdelt-webngrams:9850c23d1be39bdf74fd6f3d40bac4fc183421c24ee82fd1783edb225c1e710b,2026-07-11T00:00:00Z,https://www.newstomato.com/readnews.aspx?no=1307088,(레버리지의 역습)①2배 꿈꿨지만 현실은 '오징어게임'…'음의 복리'에 투자자 비명,NewsTomato,2026-07-14,,11cda4c2a6117742fef6eb7f851da0c78c81f265232e92e9fcfd7b14f4bcaa8b,bodies/11cda4c2a6117742fef6eb7f851da0c78c81f265232e92e9fcfd7b14f4bcaa8b.txt.gz,yes,yes,yes,yes,na,
gdelt-webngrams:4c145426da45897833fc351b6eff8685d20a58bebfbe41a2a6588521b4ff4b19,2026-08-10T00:00:00Z,https://biz.heraldcorp.com/article/10841795,"“‘삼전닉스’는 알겠는데” 국민연금이 싹쓸이한 ‘이 주식’…40→7위, 껑충 뛰었다[투자360]",헤럴드경제,2026-08-16,,f2bd94cf18de55a6a4cc2f5ce7879f37982ff5c77def6307ce25876ae1698af3,bodies/f2bd94cf18de55a6a4cc2f5ce7879f37982ff5c77def6307ce25876ae1698af3.txt.gz,yes,yes,yes,yes,na,
gdelt-webngrams:97d43f674c6d177f60767556cac7178594603bdd467849658354abdba74c6dc5,2026-08-25T00:00:00Z,https://newsway.co.kr/news/view?ud=2026082613380913225,150조 주주환원에 오너들도 웃는다···이재용·최태원 배당 셈법은 달랐다 - 뉴스웨이,뉴스웨이,2026-08-26,,2954ada7557a92e4281504a8a01af02e70a5755331c0636d7d6f4f3d45ff91e1,bodies/2954ada7557a92e4281504a8a01af02e70a5755331c0636d7d6f4f3d45ff91e1.txt.gz,yes,yes,yes,yes,na,
gdelt-webngrams:d565603658af0f86fa67cb9f45b7e832654256f97079981f53a9fa1b8f7ded27,2026-08-10T00:00:00Z,https://www.etoday.co.kr/news/view/2613330,삼전·SK하닉 목표가는 주가의 두 배…반도체 전망과 시장 온도차,ETODAY,2026-08-11,,7f03088c6eff0b8d26a0a0f08572ea0cf674d88816d1a4eedd31446c798a9f26,bodies/7f03088c6eff0b8d26a0a0f08572ea0cf674d88816d1a4eedd31446c798a9f26.txt.gz,yes,yes,yes,yes,na,
gdelt-webngrams:8c9840536e513933e62bd0d4498cf10a6dedeba87f2be92d2bfef044df870206,2026-07-26T00:00:00Z,https://www.edaily.co.kr/News/Read?mediaCodeNo=257&newsId=01403846645520096,슈퍼사이클VS과잉…삼성·SK하닉 향한 글로벌 시각은,EDAILY,2026-07-31,,2eafd55cf14b0aae3171a6bd1f1660824dff43a74e4b603fd7448b07413a1a4d,bodies/2eafd55cf14b0aae3171a6bd1f1660824dff43a74e4b603fd7448b07413a1a4d.txt.gz,yes,yes,yes,yes,na,
gdelt-webngrams:7eca0cbf9b04eb97bf0546caeb32cb5c5f737d4731d8bfee05c283af7bda0bff,2026-07-26T00:00:00Z,https://www.edaily.co.kr/News/Read?mediaCodeNo=257&newsId=02013926645518784,"""SK하이닉스 ADR 프리미엄 높아…AI 과열 신호""[뉴스새벽배송]",EDAILY,2026-07-27,,bcded23f31fdb54f95a0c0048730e12611db64a1d15ec5344aa0207cf994655e,bodies/bcded23f31fdb54f95a0c0048730e12611db64a1d15ec5344aa0207cf994655e.txt.gz,yes,yes,yes,yes,na,
gdelt-webngrams:a42c362fe09d8ea19d996a8bc9e50ef1351b38a668b5b8ef528cdcdf4abb2d8d,2026-08-25T00:00:00Z,https://www.munhwa.com/article/11613021,"주식시장 ‘진정’ vs ‘시들’…개미들, 8월 1.7조 내다팔아..단일종목 레버리지 급감",문화일보,2026-08-30,,25c7b5055e33a591358a6f1e092febb7ba835a077187653ae7dbe63d8cc1b12b,bodies/25c7b5055e33a591358a6f1e092febb7ba835a077187653ae7dbe63d8cc1b12b.txt.gz,yes,yes,yes,yes,na,
gdelt-webngrams:6590c7e4e73cf12a4fbd30066075885481db09462a33e08c9b2cf5711c9a06ba,2026-07-11T00:00:00Z,https://www.etoday.co.kr/news/view/2602555,SK하이닉스 ADR상장의 힘…반도체株 약세 딛고 반등 견인,ETODAY,2026-07-12,,22e1023c38faf42b7a9e76dd909dc103491da352fe87af85e5dd9db4ab037072,bodies/22e1023c38faf42b7a9e76dd909dc103491da352fe87af85e5dd9db4ab037072.txt.gz,yes,yes,yes,yes,na,
